	task	subject	sentence_id	mean_a1	mean_a2	mean_b1	mean_b2	mean_g1	mean_g2	mean_t1	mean_t2
0	NR	YAC	1	0.09175936565400834	0.11026355761637595	0.1285163528006288	0.1735801087143736	0.16674559056618707	0.2579648267575039	0.1678242138908436	0.10698849251589716
1	NR	YAC	1	0.16001836390609042	0.1856817389554981	0.2062585801568903	0.263562365511397	0.25370348363390427	0.795062924668843	0.31163303872551285	0.20085898766214003
2	NR	YAC	1	0.18769271298301934	0.22932249875152708	0.2587862783569271	0.3564007686654563	0.34016982133088136	0.9125434259013826	0.3822591954032432	0.22416663082250304
3	NR	YAC	1	0.23583276273214807	0.3043587820954936	0.35787412720626144	0.49874971320575034	0.4791568212758119	1.1558175414297385	0.46375168452479265	0.293108555069197
4	NR	YAC	1	0.2176512163552296	0.2766463037547211	0.3181706236295736	0.4499348624276443	0.44817085194472095	0.636758662796327	0.3722244269791365	0.2574153382999722
5	NR	YAC	1	0.2122788649452542	0.25915015204411623	0.31459860719170285	0.3991894189679957	0.40746321242028954	0.4662401063725219	0.3234691503752285	0.23927374669016221
6	NR	YAC	1	0.13425093631322715	0.1616320079913736	0.17107160445902117	0.22211179364292571	0.20802628725807681	0.45632286536911476	0.250674156394779	0.15147898451432595
7	NR	YAC	1	0.19649352304137072	0.23704412680579173	0.25777656072626637	0.3526807543717125	0.3390886837508376	0.9373864197210908	0.3945356167236087	0.22505078814179996
8	NR	YAC	1	0.23590699162065143	0.28694344584666287	0.3113203549428136	0.42943502416589385	0.41807824215032463	1.1199483739364842	0.45549043853657734	0.26381619012055757
9	NR	YAC	1	0.3038501087330504	0.3560987507918057	0.38930761911868506	0.5003464258946192	0.5277348880700761	1.3399527527234747	0.522623154439238	0.350199273721769
10	NR	YAC	1	0.34469685804285727	0.42649895946372274	0.5034662860420848	0.6492442888290975	0.6505065577932924	0.7509543013063172	0.5380718913079454	0.39010620251868205
11	NR	YAC	1	0.6196413002739399	0.867893148122343	0.9898973318547317	1.3982218794359842	1.2588084404236737	1.5033232687727536	1.046200284591562	0.7339289199196413
12	NR	YAC	1	0.2620324155339585	0.31867610569416155	0.3438446837597294	0.45906348954464676	0.4472546282814042	1.2773442967388071	0.5175268359725317	0.3021852004029724
13	NR	YAC	1	0.2701401449386088	0.31792258654328925	0.3558568947057764	0.4684826465476302	0.48708102101732287	1.2038916052381403	0.45947535856278976	0.30208355945349624
14	NR	YAC	1	0.250810995035529	0.29918760292313734	0.35087194622467893	0.48315065868315343	0.49825632940190584	0.9863005069362278	0.4007658727782855	0.30009286860859535
15	NR	YAC	1	0.2765659332861798	0.32791940858682483	0.37589591380523063	0.5035029127290664	0.5190262572858162	0.7167042525862922	0.4186991724123334	0.32038407361691945
16	NR	YAC	1	0.21123743031899284	0.25326694042293274	0.2742009414688514	0.36264116297359256	0.36086222023060277	0.8831110432002957	0.40722329879562064	0.24635786035080542
17	NR	YAC	1	0.2749022810255161	0.3204573237411674	0.3595291439775983	0.47084646686672776	0.4943334196158281	1.1041281654323767	0.4430314409427432	0.3013163127015189
18	NR	YAC	1	0.2972541309197482	0.35019745387352047	0.4065100319145439	0.5538214370586381	0.5728860669309112	1.2357195330003878	0.4675396138938847	0.3489420586109593
19	NR	YAC	1	0.18147740444668276	0.20633808551760868	0.24093637255861156	0.31349226192868446	0.32732188151126523	0.4548331281433454	0.27654834414580226	0.20717975888626022
20	NR	YAC	1	0.25522890871508613	0.3013048371515304	0.3459354471666553	0.4626526864097204	0.47894868667043355	0.6788917638306218	0.38672898053321436	0.2952267097177537
21	NR	YAC	1	0.3265112604543289	0.38232270079982933	0.4391149793908972	0.5847678924194042	0.6105341964510486	1.012482018457941	0.4943327538306973	0.3766671845736979
22	NR	YAC	1	0.3706133538611067	0.46352526010985756	0.5315631107881233	0.6922381587705103	0.6739587612695567	0.851036186536636	0.6206563607064445	0.4299682705219872
23	NR	YAC	1	0.38719604190191415	0.47706972227492167	0.5496476104508703	0.7089439979851622	0.6883789451204932	0.9016213272851802	0.6448100944417651	0.4435419479068178
24	NR	YAC	1	0.403016997597437	0.4926118342226641	0.567006992715193	0.7264847662477357	0.6830055167291021	1.5007344488756107	0.703518870221528	0.45952798419652996
25	NR	YAC	1	0.24138270570526182	0.30486394586519017	0.3537394409097751	0.47014610337234813	0.4710361879134352	0.5459806859678824	0.38096080835794344	0.2793214260141203
26	NR	YAC	1	0.3833342737213224	0.47263725514047145	0.5369509286747904	0.7192069923076617	0.712871149813204	0.8194168023631103	0.6154204870463073	0.44678765879570653
27	NR	YAC	1	0.38863513767185764	0.4889357011807998	0.5560253411504227	0.7188948798264537	0.6934342890227655	1.020130440169516	0.6761029825492535	0.45973080283923906
28	NR	YAC	1	0.39423483198205467	0.49217367505370213	0.5642107369213155	0.7295067354365409	0.7067498164315679	0.9599135999089453	0.668910788323419	0.458788480441811
29	NR	YAC	1	0.4069524842833701	0.49898919048863594	0.5723561472046713	0.7284720500838053	0.6928074733860888	1.3765671644792985	0.7109499883231217	0.46487923501768014
30	NR	YAC	1	0.13839315301238267	0.16511550494416846	0.188552726726852	0.2467601732519608	0.23736564537001625	0.2792664448295303	0.2249329056468373	0.15732166067336043
31	NR	YAC	1	0.4651146740300282	0.5846748425840863	0.6529893696688494	0.8335403588896844	0.79206572781204	1.834025461306248	0.8483033768837043	0.5605305046848059
32	NR	YAC	1	0.5128415052441245	0.6566131849483796	0.729627066672	0.974363035185114	0.931268616068546	1.257024359838633	0.9260728168187502	0.6269616943716851
33	NR	YAC	1	0.43570282142027617	0.5478880078919758	0.6253811366880809	0.8014426807398886	0.7753647434366103	1.2283844162147142	0.7575810467610776	0.5158654466300808
34	NR	YAC	1	0.40425307098518465	0.5029262094486833	0.5770399609159628	0.7326570900737891	0.706284964127252	1.219898284758702	0.7008491875377365	0.472130121312544
35	NR	YAC	1	0.18609259337381454	0.2209153374296838	0.23956944338099387	0.3278177443356696	0.30042418910215396	0.604224099222265	0.3510781088711657	0.20561384204154634
36	NR	YAC	1	0.22117845974755562	0.2543343297195049	0.29345183372786493	0.38437115972207275	0.3659691940757872	0.47648787128748704	0.36147890861445237	0.23558059321724814
37	NR	YAC	1	0.5387858154932254	0.6917999410935008	0.7714261988241984	0.9902544350627083	0.9463999410485424	1.8456714004403074	0.9934899061264042	0.6585860176584205
38	NR	YAC	1	0.4429584044459601	0.5598344857125537	0.6313169240563106	0.8077893504470167	0.7725160434434601	1.388368983819008	0.7956160619205357	0.5294667505844153
39	NR	YAC	1	0.42022628547636626	0.5299321423351603	0.6011783660631526	0.7658513547322745	0.735969562370264	1.3414369564846218	0.7447257561994995	0.5004684106539105
