task	subject	sentence_id	word_id	FFD_a1	FFD_a2	FFD_b1	FFD_b2	FFD_g1	FFD_g2	FFD_t1	FFD_t2	GD_a1	GD_a2	GD_b1	GD_b2	GD_g1	GD_g2	GD_t1	GD_t2	GPT_a1	GPT_a2	GPT_b1	GPT_b2	GPT_g1	GPT_g2	GPT_t1	GPT_t2	SFD_a1	SFD_a2	SFD_b1	SFD_b2	SFD_g1	SFD_g2	SFD_t1	SFD_t2	TRT_a1	TRT_a2	TRT_b1	TRT_b2	TRT_g1	TRT_g2	TRT_t1	TRT_t2
TSR	YAC	0	5	0.4683547152746055	0.29241692458539587	0.12169955734346243	0.22567563410825445	0.2620261114498786	0.3134006137432122	0.12254893533872195	0.26628971233769716	0.4683547152746055	0.29241692458539587	0.12169955734346243	0.22567563410825445	0.2620261114498786	0.3134006137432122	0.12254893533872195	0.26628971233769716	0.4683547152746055	0.29241692458539587	0.12169955734346243	0.22567563410825445	0.2620261114498786	0.3134006137432122	0.12254893533872195	0.26628971233769716	0.4683547152746055	0.29241692458539587	0.12169955734346243	0.22567563410825445	0.2620261114498786	0.3134006137432122	0.12254893533872195	0.26628971233769716	0.4683547152746055	0.29241692458539587	0.12169955734346243	0.22567563410825445	0.2620261114498786	0.3134006137432122	0.12254893533872195	0.26628971233769716
TSR	YAC	0	5	0.3918364515659401	0.24494960287471826	0.15089092764277498	0.36446527948085716	0.2904494028801545	0.40433131834677893	0.1967842902394741	0.18541765032002877	0.3918364515659401	0.24494960287471826	0.15089092764277498	0.36446527948085716	0.2904494028801545	0.40433131834677893	0.1967842902394741	0.18541765032002877	0.3918364515659401	0.24494960287471826	0.15089092764277498	0.36446527948085716	0.2904494028801545	0.40433131834677893	0.1967842902394741	0.18541765032002877	0.3918364515659401	0.24494960287471826	0.15089092764277498	0.36446527948085716	0.2904494028801545	0.40433131834677893	0.1967842902394741	0.18541765032002877	0.3918364515659401	0.24494960287471826	0.15089092764277498	0.36446527948085716	0.2904494028801545	0.40433131834677893	0.1967842902394741	0.18541765032002877
TSR	YAC	0	5	0.49369201920028444	0.32403898338261533	0.1576648706614309	0.14990680150450097	0.19809064025104134	0.28395643380009417	0.0858611936337226	0.22403084378974417	0.49369201920028444	0.32403898338261533	0.1576648706614309	0.14990680150450097	0.19809064025104134	0.28395643380009417	0.0858611936337226	0.22403084378974417	0.49369201920028444	0.32403898338261533	0.1576648706614309	0.14990680150450097	0.19809064025104134	0.28395643380009417	0.0858611936337226	0.22403084378974417	0.49369201920028444	0.32403898338261533	0.1576648706614309	0.14990680150450097	0.19809064025104134	0.28395643380009417	0.0858611936337226	0.22403084378974417	0.49369201920028444	0.32403898338261533	0.1576648706614309	0.14990680150450097	0.19809064025104134	0.28395643380009417	0.0858611936337226	0.22403084378974417
TSR	YAC	0	5	0.7709458534908677	0.46931739898823815	0.21920498180808606	0.2584846337635022	0.2969885619999711	0.3915168887050942	0.1511199451217595	0.398209660529489	0.7709458534908677	0.46931739898823815	0.21920498180808606	0.2584846337635022	0.2969885619999711	0.3915168887050942	0.1511199451217595	0.398209660529489	0.7709458534908677	0.46931739898823815	0.21920498180808606	0.2584846337635022	0.2969885619999711	0.3915168887050942	0.1511199451217595	0.398209660529489	0.7709458534908677	0.46931739898823815	0.21920498180808606	0.2584846337635022	0.2969885619999711	0.3915168887050942	0.1511199451217595	0.398209660529489	0.7709458534908677	0.46931739898823815	0.21920498180808606	0.2584846337635022	0.2969885619999711	0.3915168887050942	0.1511199451217595	0.398209660529489
TSR	YAC	0	5	0.2626598741670993	0.1931769863125435	0.1993722194343381	0.22305582759979653	0.28883236506294807	0.27426667802162685	0.08517428227950777	0.11045105609897897	0.2626598741670993	0.1931769863125435	0.1993722194343381	0.22305582759979653	0.28883236506294807	0.27426667802162685	0.08517428227950777	0.11045105609897897	0.2626598741670993	0.1931769863125435	0.1993722194343381	0.22305582759979653	0.28883236506294807	0.27426667802162685	0.08517428227950777	0.11045105609897897	0.2626598741670993	0.1931769863125435	0.1993722194343381	0.22305582759979653	0.28883236506294807	0.27426667802162685	0.08517428227950777	0.11045105609897897	0.2626598741670993	0.1931769863125435	0.1993722194343381	0.22305582759979653	0.28883236506294807	0.27426667802162685	0.08517428227950777	0.11045105609897897
TSR	YAC	0	5	0.15883667694718692	0.15042766651839745	0.21256541116962163	0.22437991075462246	0.2178873651441536	0.31392057789080297	0.13924420912888402	0.08407797525305911	0.15883667694718692	0.15042766651839745	0.21256541116962163	0.22437991075462246	0.2178873651441536	0.31392057789080297	0.13924420912888402	0.08407797525305911	0.15883667694718692	0.15042766651839745	0.21256541116962163	0.22437991075462246	0.2178873651441536	0.31392057789080297	0.13924420912888402	0.08407797525305911	0.15883667694718692	0.15042766651839745	0.21256541116962163	0.22437991075462246	0.2178873651441536	0.31392057789080297	0.13924420912888402	0.08407797525305911	0.15883667694718692	0.15042766651839745	0.21256541116962163	0.22437991075462246	0.2178873651441536	0.31392057789080297	0.13924420912888402	0.08407797525305911
TSR	YAC	0	5	0.38142865583430074	0.24552089151206133	0.08118734952433275	0.187012071066077	0.11966973361443542	0.26440748225914673	0.11225070324502354	0.1690249617421313	0.38142865583430074	0.24552089151206133	0.08118734952433275	0.187012071066077	0.11966973361443542	0.26440748225914673	0.11225070324502354	0.1690249617421313	0.38142865583430074	0.24552089151206133	0.08118734952433275	0.187012071066077	0.11966973361443542	0.26440748225914673	0.11225070324502354	0.1690249617421313	0.38142865583430074	0.24552089151206133	0.08118734952433275	0.187012071066077	0.11966973361443542	0.26440748225914673	0.11225070324502354	0.1690249617421313	0.38142865583430074	0.24552089151206133	0.08118734952433275	0.187012071066077	0.11966973361443542	0.26440748225914673	0.11225070324502354	0.1690249617421313
TSR	YAC	0	5	0.35043469586990017	0.2201092142649647	0.07896864261018197	0.1655918286115198	0.10111445757686495	0.21086805976814044	0.10634882545927112	0.16341307311030712	0.35043469586990017	0.2201092142649647	0.07896864261018197	0.1655918286115198	0.10111445757686495	0.21086805976814044	0.10634882545927112	0.16341307311030712	0.35043469586990017	0.2201092142649647	0.07896864261018197	0.1655918286115198	0.10111445757686495	0.21086805976814044	0.10634882545927112	0.16341307311030712	0.35043469586990017	0.2201092142649647	0.07896864261018197	0.1655918286115198	0.10111445757686495	0.21086805976814044	0.10634882545927112	0.16341307311030712	0.35043469586990017	0.2201092142649647	0.07896864261018197	0.1655918286115198	0.10111445757686495	0.21086805976814044	0.10634882545927112	0.16341307311030712
TSR	YAC	0	5	1.489670364882215	0.9380600866869699	0.3689256729274783	0.4870976356003726	0.428300012617036	0.7669607408252509	0.3305073024703785	0.7088978194372622	1.489670364882215	0.9380600866869699	0.3689256729274783	0.4870976356003726	0.428300012617036	0.7669607408252509	0.3305073024703785	0.7088978194372622	1.489670364882215	0.9380600866869699	0.3689256729274783	0.4870976356003726	0.428300012617036	0.7669607408252509	0.3305073024703785	0.7088978194372622	1.489670364882215	0.9380600866869699	0.3689256729274783	0.4870976356003726	0.428300012617036	0.7669607408252509	0.3305073024703785	0.7088978194372622	1.489670364882215	0.9380600866869699	0.3689256729274783	0.4870976356003726	0.428300012617036	0.7669607408252509	0.3305073024703785	0.7088978194372622
TSR	YAC	0	5	1.0124280347322343	0.6961952651096686	0.27380546718083637	0.3175763988459212	0.2744436351528456	0.7729892821363742	0.19508460791383542	0.398044210490023	1.0124280347322343	0.6961952651096686	0.27380546718083637	0.3175763988459212	0.2744436351528456	0.7729892821363742	0.19508460791383542	0.398044210490023	1.0124280347322343	0.6961952651096686	0.27380546718083637	0.3175763988459212	0.2744436351528456	0.7729892821363742	0.19508460791383542	0.398044210490023	1.0124280347322343	0.6961952651096686	0.27380546718083637	0.3175763988459212	0.2744436351528456	0.7729892821363742	0.19508460791383542	0.398044210490023	1.0124280347322343	0.6961952651096686	0.27380546718083637	0.3175763988459212	0.2744436351528456	0.7729892821363742	0.19508460791383542	0.398044210490023
