task	subject	sentence_id	mean_a1	mean_a2	mean_b1	mean_b2	mean_g1	mean_g2	mean_t1	mean_t2
TSR	YAG	1	0.4200799534097104	0.347165515144067	0.4341518616684704	0.4985993057936568	0.38282656115696245	1.4060133294525587	0.4608419361389222	0.41496145558953423
TSR	YAG	1	0.7114768556695641	0.6597149458354243	0.8529050325131313	1.0062906317082316	0.7522983334580452	3.0471308851677725	1.1151692002526474	0.890108992162211
TSR	YAG	1	0.6744352890031339	0.6034743669785473	0.7918455823394341	0.9530316507932785	0.6942409380328135	3.2436917715128133	1.0132353471337834	0.8241635111490869
TSR	YAG	1	0.6450332724306773	0.5652032170875712	0.7448175599687286	0.9214240591352351	0.6576130640898767	3.148174995970528	0.9435605136615105	0.8002227041325514
TSR	YAG	1	0.5952092469806967	0.5007151358697353	0.6641652085106977	0.806096333641025	0.5592442108532358	2.565980820389171	0.8455222577354772	0.7226510432244837
TSR	YAG	1	0.43162549723140486	0.4306280216345775	0.5311291340224594	0.6329386560418258	0.4915653164156541	1.914360327229663	0.660116101395138	0.5080214976593389
TSR	YAG	1	0.5840526687857658	0.5719645468574756	0.7259622250903766	0.8850132203586205	0.7206073534923547	2.3991892920283995	1.0190280093466875	0.7594318201456596
TSR	YAG	1	0.7820859864832616	0.8247799470312926	1.1314104681515829	1.359570190752396	1.0676953405624074	4.521508761494159	1.5001825020695139	1.0835690772762712
TSR	YAG	1	0.7557916500977411	0.7563124546835501	1.0971972035987416	1.3313338565634476	1.0386448637818615	4.746207185341343	1.4395841025139726	1.0371432000746685
TSR	YAG	1	0.677570665275509	0.6372587552236607	0.9685616025902166	1.1568753364866777	0.9226153864512356	4.323978971072643	1.2905877134513508	0.9687573154530713
TSR	YAG	1	0.48540481655099166	0.45790489768902004	0.6071874272313735	0.7448572316031762	0.6041094545059748	2.6162427597126054	0.8056664304950716	0.6425492279331512
TSR	YAG	1	0.6003726056596769	0.7338724424517503	0.8749834628345059	1.0994950546757731	0.9439393878490571	2.191239175588619	1.2615188656123553	0.8215602407038223
TSR	YAG	1	0.667257817451226	0.823530723717967	1.1519494649455955	1.4052534929623597	1.2319486298640725	3.6909003631182675	1.693409056353608	1.1211916628271343
