task	subject	sentence_id	mean_a1	mean_a2	mean_b1	mean_b2	mean_g1	mean_g2	mean_t1	mean_t2
TSR	YAC	1	0.17584863286539626	0.15933037978977074	0.2181787167944816	0.2781743087723012	0.22813000246014722	0.22844848956364477	0.30802706519124634	0.21246046804315544
TSR	YAC	1	0.1266978305262478	0.15440060602418515	0.18308391510579225	0.2956976460718829	0.28354457368151725	0.3442316542204113	0.25891914282147516	0.15488239019257344
TSR	YAC	1	0.143579133650041	0.14255631123195212	0.17426218956980372	0.21534570383774684	0.17435639693798238	0.16115857708428127	0.23702417194066885	0.18375126796536717
TSR	YAC	1	0.22763696463782276	0.2318027917284189	0.27333522673231614	0.3604923701533612	0.2944242851396176	0.29425648343974575	0.3928436139710347	0.285434628865026
TSR	YAC	1	0.11141066013335219	0.11948050819926019	0.14999834753500446	0.18506847926294853	0.18442810631349613	0.20118261343213903	0.16090061378090642	0.13644092695199295
TSR	YAC	1	0.12682786609841068	0.1394444987296333	0.16777713910388223	0.19831624676009457	0.17606950489813342	0.2723847478825749	0.19913508586583878	0.15521610726803553
TSR	YAC	1	0.10143054365095694	0.11334159019226182	0.13175806750066824	0.19354430441658557	0.16745576300287923	0.1932643008536853	0.19903460242231524	0.1303066740093911
TSR	YAC	1	0.09481853943889047	0.10586525119076418	0.11964433436667653	0.17465932406665136	0.14673644215567877	0.17528265667146226	0.18924291680528757	0.12285552221717332
TSR	YAC	1	0.4126830841490296	0.4293898397665329	0.5001167073981122	0.6655722681783698	0.5228468211178048	0.5542818642677781	0.751907199151551	0.5274390624723952
TSR	YAC	1	0.27735329488695265	0.2910003983813524	0.34866974003626355	0.44930427776941917	0.3747823060849406	0.38805418856917767	0.4840979182564573	0.3571202134896734
TSR	YAC	1	0.21315248092573905	0.22136013513792666	0.2767701126533661	0.3191868573463747	0.2731790603536015	0.4121734188244908	0.31548439976246523	0.2603358314429868
TSR	YAC	1	0.4133749925916994	0.41427212985695183	0.478544918906825	0.5522410091291461	0.4957057820520294	0.5148533797528436	0.531204641108486	0.4740332472490596
TSR	YAC	1	0.20246393826504994	0.21608731946948473	0.2556276945192344	0.3542252008944419	0.29489006751029795	0.32608602193276554	0.3838805029258618	0.2601911903888348
TSR	YAC	1	0.18479956952349227	0.21433967967286247	0.23986331764480615	0.3649915980051823	0.31860590877689526	0.3952728515000133	0.377546758579221	0.23779050777963504
TSR	YAC	1	0.14034286014780475	0.1535028623695146	0.1733218867252697	0.2531421108826423	0.23441209490376108	0.2466229184524226	0.2216292592088637	0.15986680512676366
TSR	YAC	1	0.21726559593728248	0.22439299593296289	0.27898279355856587	0.33111728845909977	0.29130232308764764	0.3826614019180258	0.31648505159773777	0.26477227490641236
