task	subject	sentence_id	word_id	FFD_a1	FFD_a2	FFD_b1	FFD_b2	FFD_g1	FFD_g2	FFD_t1	FFD_t2	GD_a1	GD_a2	GD_b1	GD_b2	GD_g1	GD_g2	GD_t1	GD_t2	GPT_a1	GPT_a2	GPT_b1	GPT_b2	GPT_g1	GPT_g2	GPT_t1	GPT_t2	SFD_a1	SFD_a2	SFD_b1	SFD_b2	SFD_g1	SFD_g2	SFD_t1	SFD_t2	TRT_a1	TRT_a2	TRT_b1	TRT_b2	TRT_g1	TRT_g2	TRT_t1	TRT_t2
NR	YAC	2	14	0.12351821435644982	0.11452071377085209	0.12298617441627523	0.18694650236851346	0.1956003123682243	0.26263584045274746	0.1422456173828959	0.13901600858166602	0.16753155894735028	0.0789499611261566	0.11724232098480052	0.14877343104034388	0.12892725434677543	0.2214294879247787	0.12428843055933336	0.19934017476834084	0.16753155894735028	0.0789499611261566	0.11724232098480052	0.14877343104034388	0.12892725434677543	0.2214294879247787	0.12428843055933336	0.19934017476834084	-1	-1	-1	-1	-1	-1	-1	-1	0.16753155894735028	0.0789499611261566	0.11724232098480052	0.14877343104034388	0.12892725434677543	0.2214294879247787	0.12428843055933336	0.19934017476834084
NR	YAC	2	14	0.1859977588571208	0.18943839177822405	0.22010600643554734	0.2787581928447457	0.207955111552396	0.7962242874647855	0.28806677816852466	0.3157058406036623	0.15421454283793443	0.14516381704045137	0.18472269535244423	0.2592659984492815	0.18795654771118298	0.7233038000941298	0.2631019971262473	0.20955545441311663	0.15421454283793443	0.14516381704045137	0.18472269535244423	0.2592659984492815	0.18795654771118298	0.7233038000941298	0.2631019971262473	0.20955545441311663	-1	-1	-1	-1	-1	-1	-1	-1	0.15421454283793443	0.14516381704045137	0.18472269535244423	0.2592659984492815	0.18795654771118298	0.7233038000941298	0.2631019971262473	0.20955545441311663
NR	YAC	2	14	0.2788271399160099	0.26000197561789457	0.27425593808770965	0.3560850602952132	0.3603755770195412	0.9137202941221243	0.3069949337983689	0.39114674905968644	0.2830835392114221	0.1869845822273698	0.21322281683559274	0.3076822469433942	0.2820647811651969	0.8182547569275607	0.2160840497880132	0.37150598716047084	0.2830835392114221	0.1869845822273698	0.21322281683559274	0.3076822469433942	0.2820647811651969	0.8182547569275607	0.2160840497880132	0.37150598716047084	-1	-1	-1	-1	-1	-1	-1	-1	0.2830835392114221	0.1869845822273698	0.21322281683559274	0.3076822469433942	0.2820647811651969	0.8182547569275607	0.2160840497880132	0.37150598716047084
NR	YAC	2	14	0.3709977962664266	0.33305426497697516	0.3457892604121047	0.4686874438497143	0.4944010914532101	1.158320268088958	0.3769378810055191	0.49199147015790196	0.38436999108580044	0.27717658319260263	0.2927964103140795	0.412620757460103	0.3993937394610952	1.0220352466912643	0.2439811067155794	0.468691320839695	0.38436999108580044	0.27717658319260263	0.2927964103140795	0.412620757460103	0.3993937394610952	1.0220352466912643	0.2439811067155794	0.468691320839695	-1	-1	-1	-1	-1	-1	-1	-1	0.38436999108580044	0.27717658319260263	0.2927964103140795	0.412620757460103	0.3993937394610952	1.0220352466912643	0.2439811067155794	0.468691320839695
NR	YAC	2	14	0.29313979266106704	0.25455750267660654	0.25177546970130016	0.4685017533716869	0.4714890316218464	0.6435529693826221	0.3597808947175308	0.35015350411244855	0.3939589994908929	0.20306698130302495	0.2778947386935186	0.4057068460039987	0.3819229345327813	0.4993198466046167	0.27767079163273717	0.45036305902981005	0.3939589994908929	0.20306698130302495	0.2778947386935186	0.4057068460039987	0.3819229345327813	0.4993198466046167	0.27767079163273717	0.45036305902981005	-1	-1	-1	-1	-1	-1	-1	-1	0.3939589994908929	0.20306698130302495	0.2778947386935186	0.4057068460039987	0.3819229345327813	0.4993198466046167	0.27767079163273717	0.45036305902981005
NR	YAC	2	14	0.18451635381460443	0.1135058185200396	0.18730755204658361	0.39354307063860294	0.38436242438397766	0.41631045613218676	0.3845531714564263	0.24599795772814065	0.21437468271823482	0.22948813512328506	0.23110614470001922	0.4199958505630341	0.3412456251194554	0.3161261984022678	0.2805658340077078	0.30290794191852716	0.21437468271823482	0.22948813512328506	0.23110614470001922	0.4199958505630341	0.3412456251194554	0.3161261984022678	0.2805658340077078	0.30290794191852716	-1	-1	-1	-1	-1	-1	-1	-1	0.21437468271823482	0.22948813512328506	0.23110614470001922	0.4199958505630341	0.3412456251194554	0.3161261984022678	0.2805658340077078	0.30290794191852716
NR	YAC	2	14	0.17558518540150078	0.14294059877430704	0.16053175330024325	0.23516579664917897	0.21251368769946072	0.44870398980021003	0.21638810091925353	0.2249078138778171	0.1688312096132284	0.13184700595347276	0.11618648517653346	0.22528414033797542	0.21687373285279532	0.4328347263869989	0.17852870099788978	0.21590791680689503	0.1688312096132284	0.13184700595347276	0.11618648517653346	0.22528414033797542	0.21687373285279532	0.4328347263869989	0.17852870099788978	0.21590791680689503	-1	-1	-1	-1	-1	-1	-1	-1	0.1688312096132284	0.13184700595347276	0.11618648517653346	0.22528414033797542	0.21687373285279532	0.4328347263869989	0.17852870099788978	0.21590791680689503
NR	YAC	2	14	0.27480217658797323	0.24877042842037994	0.2704765114507174	0.35658446074421934	0.34445754102575027	0.9347274872757374	0.32802341632185966	0.4107763737638137	0.25770727892001477	0.2049450666560132	0.19915923604676897	0.3157968564310894	0.29458628841599604	0.8538917032563615	0.23683336833328805	0.3550330455730517	0.25770727892001477	0.2049450666560132	0.19915923604676897	0.3157968564310894	0.29458628841599604	0.8538917032563615	0.23683336833328805	0.3550330455730517	-1	-1	-1	-1	-1	-1	-1	-1	0.25770727892001477	0.2049450666560132	0.19915923604676897	0.3157968564310894	0.29458628841599604	0.8538917032563615	0.23683336833328805	0.3550330455730517
NR	YAC	2	14	0.3171623200166046	0.2805120402267605	0.2991219554660149	0.41432000292805454	0.4069250190151633	1.108954558457479	0.39712777029832613	0.4994467585172665	0.2824921264480435	0.2790007861249533	0.2280361139924418	0.3850247173832633	0.3757857734289292	1.0218866413663814	0.2624835001953781	0.3889739791203586	0.2824921264480435	0.2790007861249533	0.2280361139924418	0.3850247173832633	0.3757857734289292	1.0218866413663814	0.2624835001953781	0.3889739791203586	-1	-1	-1	-1	-1	-1	-1	-1	0.2824921264480435	0.2790007861249533	0.2280361139924418	0.3850247173832633	0.3757857734289292	1.0218866413663814	0.2624835001953781	0.3889739791203586
NR	YAC	2	14	0.3884007624413219	0.3407888446921763	0.41086079024720934	0.5326974154189505	0.46914299708882734	1.3407339552382482	0.4490123632010475	0.5589123935548149	0.37271241197894717	0.31249899401938525	0.3377100825373586	0.4577433660616878	0.4431912343336902	1.2421712012019004	0.39245910589307975	0.4349240589217634	0.37271241197894717	0.31249899401938525	0.3377100825373586	0.4577433660616878	0.4431912343336902	1.2421712012019004	0.39245910589307975	0.4349240589217634	-1	-1	-1	-1	-1	-1	-1	-1	0.37271241197894717	0.31249899401938525	0.3377100825373586	0.4577433660616878	0.4431912343336902	1.2421712012019004	0.39245910589307975	0.4349240589217634
