	task	subject	sentence_id	word_id	FFD_a1	FFD_a2	FFD_b1	FFD_b2	FFD_g1	FFD_g2	FFD_t1	FFD_t2	GD_a1	GD_a2	GD_b1	GD_b2	GD_g1	GD_g2	GD_t1	GD_t2	GPT_a1	GPT_a2	GPT_b1	GPT_b2	GPT_g1	GPT_g2	GPT_t1	GPT_t2	SFD_a1	SFD_a2	SFD_b1	SFD_b2	SFD_g1	SFD_g2	SFD_t1	SFD_t2	TRT_a1	TRT_a2	TRT_b1	TRT_b2	TRT_g1	TRT_g2	TRT_t1	TRT_t2
0	NR	YAC	2	10	0.09585555972973883	0.04105419954516513	0.0784340839001385	0.2297648396332699	0.18916670605855818	0.20602020305866534	0.08163428205808944	0.029584335973178496	0.1246486451541438	0.10420610160584631	0.12167331592295835	0.24443771158841515	0.20200832941607816	0.2594630350654437	0.11016965461305939	0.059520515500668475	0.1246486451541438	0.10420610160584631	0.12167331592295835	0.24443771158841515	0.20200832941607816	0.2594630350654437	0.11016965461305939	0.059520515500668475	-1	-1	-1	-1	-1	-1	-1	-1	0.1246486451541438	0.10420610160584631	0.12167331592295835	0.24443771158841515	0.20200832941607816	0.2594630350654437	0.11016965461305939	0.059520515500668475
1	NR	YAC	2	10	0.19690218357735884	0.09875367956075588	0.24261079911235545	0.23136492940482684	0.2716824471874594	0.9003148898528641	0.1499100491541603	0.26393363243489426	0.1983366392411688	0.08858360201829196	0.21906223360864288	0.16896361475198846	0.256117257183689	0.9374895812935958	0.20706910664435507	0.2556553486028096	0.1983366392411688	0.08858360201829196	0.21906223360864288	0.16896361475198846	0.256117257183689	0.9374895812935958	0.20706910664435507	0.2556553486028096	-1	-1	-1	-1	-1	-1	-1	-1	0.1983366392411688	0.08858360201829196	0.21906223360864288	0.16896361475198846	0.256117257183689	0.9374895812935958	0.20706910664435507	0.2556553486028096
2	NR	YAC	2	10	0.09518687613108452	0.17104243250450227	0.1735156549793236	0.4551852254102032	0.43875512076040546	0.9600125611195298	0.24361258014011158	0.1489474209267149	0.1979295857305711	0.2807224816471696	0.20705221715513675	0.4180450245799609	0.42329512480555154	1.049707422845822	0.1830014946372189	0.21887161601042088	0.1979295857305711	0.2807224816471696	0.20705221715513675	0.4180450245799609	0.42329512480555154	1.049707422845822	0.1830014946372189	0.21887161601042088	-1	-1	-1	-1	-1	-1	-1	-1	0.1979295857305711	0.2807224816471696	0.20705221715513675	0.4180450245799609	0.42329512480555154	1.049707422845822	0.1830014946372189	0.21887161601042088
3	NR	YAC	2	10	0.26022856991690274	0.3301502659518758	0.2027593095233067	0.600930327453727	0.5867677042604981	1.140817770116084	0.3485736975030907	0.10155909011735148	0.3466864995907984	0.45722897467427104	0.24661315934030276	0.5881165667841981	0.5430237886621689	1.2522013034078276	0.2812224202703348	0.20093604169218304	0.3466864995907984	0.45722897467427104	0.24661315934030276	0.5881165667841981	0.5430237886621689	1.2522013034078276	0.2812224202703348	0.20093604169218304	-1	-1	-1	-1	-1	-1	-1	-1	0.3466864995907984	0.45722897467427104	0.24661315934030276	0.5881165667841981	0.5430237886621689	1.2522013034078276	0.2812224202703348	0.20093604169218304
4	NR	YAC	2	10	0.3052383700948127	0.24410869970807436	0.22147114324675932	0.5697307504236425	0.5087563733762833	0.448333556509547	0.24686453636715042	0.14600997266875745	0.3304540136870343	0.408675521947722	0.2972110377449335	0.6147979241989117	0.5197923390593064	0.5613739462681703	0.290235020600559	0.15774742090953633	0.3304540136870343	0.408675521947722	0.2972110377449335	0.6147979241989117	0.5197923390593064	0.5613739462681703	0.290235020600559	0.15774742090953633	-1	-1	-1	-1	-1	-1	-1	-1	0.3304540136870343	0.408675521947722	0.2972110377449335	0.6147979241989117	0.5197923390593064	0.5613739462681703	0.290235020600559	0.15774742090953633
5	NR	YAC	2	10	0.3579813781626992	0.2613162788415345	0.12732404798180413	0.3114309731241212	0.4613788176707898	0.4194511288926329	0.10361600731887578	0.16109144707442258	0.33518940113300993	0.3721306777616764	0.26082836953559574	0.4598687163285209	0.4760578723686804	0.37350491237691585	0.18646687839051698	0.12905488556782946	0.33518940113300993	0.3721306777616764	0.26082836953559574	0.4598687163285209	0.4760578723686804	0.37350491237691585	0.18646687839051698	0.12905488556782946	-1	-1	-1	-1	-1	-1	-1	-1	0.33518940113300993	0.3721306777616764	0.26082836953559574	0.4598687163285209	0.4760578723686804	0.37350491237691585	0.18646687839051698	0.12905488556782946
6	NR	YAC	2	10	0.14818569382613594	0.020853640285811666	0.18537061437509528	0.26640445395874257	0.2444807821350608	0.5236011585111482	0.1919234363217694	0.21004521951794936	0.1941377956171783	0.13621010917849535	0.1904882960387226	0.2607041720928364	0.27439902962634344	0.5883089695403458	0.14918611383894403	0.2377613877509016	0.1941377956171783	0.13621010917849535	0.1904882960387226	0.2607041720928364	0.27439902962634344	0.5883089695403458	0.14918611383894403	0.2377613877509016	-1	-1	-1	-1	-1	-1	-1	-1	0.1941377956171783	0.13621010917849535	0.1904882960387226	0.2607041720928364	0.27439902962634344	0.5883089695403458	0.14918611383894403	0.2377613877509016
7	NR	YAC	2	10	0.07551890050945663	0.14254846720988723	0.21622076223855002	0.45747870059449897	0.44156887385690774	1.0313298418553678	0.25293129776088213	0.25250291987140877	0.19139767355691542	0.2840110482324725	0.23899781914353513	0.4143808160462533	0.445333185693312	1.129303847159427	0.17939287006566504	0.311172667729411	0.19139767355691542	0.2840110482324725	0.23899781914353513	0.4143808160462533	0.445333185693312	1.129303847159427	0.17939287006566504	0.311172667729411	-1	-1	-1	-1	-1	-1	-1	-1	0.19139767355691542	0.2840110482324725	0.23899781914353513	0.4143808160462533	0.445333185693312	1.129303847159427	0.17939287006566504	0.311172667729411
8	NR	YAC	2	10	0.11006941852260878	0.2136099596831781	0.2652757555877464	0.5742175193560077	0.5227823476440953	1.2521292890139855	0.33196455682506393	0.3338195097699408	0.22770303660124025	0.4018036028913603	0.29913956518257734	0.5077794461164444	0.5295398028915909	1.36669698867919	0.2646170863016944	0.4036275518099974	0.22770303660124025	0.4018036028913603	0.29913956518257734	0.5077794461164444	0.5295398028915909	1.36669698867919	0.2646170863016944	0.4036275518099974	-1	-1	-1	-1	-1	-1	-1	-1	0.22770303660124025	0.4018036028913603	0.29913956518257734	0.5077794461164444	0.5295398028915909	1.36669698867919	0.2646170863016944	0.4036275518099974
9	NR	YAC	2	10	0.11422954657252897	0.24536650358611728	0.5080558357840319	0.6204864213018114	0.6054598186181785	1.4432863730287768	0.3280007289619029	0.622942025413363	0.28394675729045804	0.4284831979385285	0.47157584225767446	0.6462521683163154	0.6797159829572528	1.6206056899158614	0.3669139922901901	0.6417743626012079	0.28394675729045804	0.4284831979385285	0.47157584225767446	0.6462521683163154	0.6797159829572528	1.6206056899158614	0.3669139922901901	0.6417743626012079	-1	-1	-1	-1	-1	-1	-1	-1	0.28394675729045804	0.4284831979385285	0.47157584225767446	0.6462521683163154	0.6797159829572528	1.6206056899158614	0.3669139922901901	0.6417743626012079
